zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
19119,"PHILADELPHIA, PA",611///,16,11,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19130,"PHILADELPHIA, PA",611///,17,10,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19152,"PHILADELPHIA, PA",813///,17,8,6,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19116,"PHILADELPHIA, PA",813///,17,10,6,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19136,"PHILADELPHIA, PA",813///,17,12,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19149,"PHILADELPHIA, PA",813///,17,11,5,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19124,"PHILADELPHIA, PA",611///,17,3,N,N,4,N,5,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19118,"PHILADELPHIA, PA",813///,18,11,N,3,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19141,"PHILADELPHIA, PA",813///,18,13,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19115,"PHILADELPHIA, PA",813///,19,13,4,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19145,"PHILADELPHIA, PA",611///,20,8,3,N,4,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19125,"PHILADELPHIA, PA",813///,20,14,3,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19102,"PHILADELPHIA, PA",611///,20,8,3,4,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19142,"PHILADELPHIA, PA",813///,20,18,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19107,"PHILADELPHIA, PA",611///,21,11,4,3,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19120,"PHILADELPHIA, PA",813///,22,17,N,3,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19128,"PHILADELPHIA, PA",813///,23,15,N,5,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19132,"PHILADELPHIA, PA",813///,23,18,3,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19134,"PHILADELPHIA, PA",813///,23,11,5,5,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19144,"PHILADELPHIA, PA",611///,24,7,3,N,6,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19119,"PHILADELPHIA, PA",813///,25,17,5,N,3,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19151,"PHILADELPHIA, PA",813///,25,13,5,6,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19124,"PHILADELPHIA, PA",813///,25,15,7,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19131,"PHILADELPHIA, PA",611///,25,8,N,N,4,7,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19154,"PHILADELPHIA, PA",813///,26,8,6,7,3,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19148,"PHILADELPHIA, PA",813///,26,16,7,3,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19131,"PHILADELPHIA, PA",813///,26,15,7,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19139,"PHILADELPHIA, PA",813///,28,18,4,4,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
